DATA_YM,AREA_ID,AREA_NM,DIST_CD,DIST_NM,TOTAL_BIDG,FAC_NEIGH_1,FAC_NEIGH_2,FAC_CULT_MTG,FAC_RELG,FAC_RETAIL,FAC_MEDI,FAC_YOSE,FAC_TRAIN,FAC_SPORT,FAC_STAY,FAC_LEISURE,TOTAL_GAS,CMRC_GAS,TOTAL_ELEC
202303,10183,도안상권,30170,서구,112.0,24.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,588544,543257,1132.66
202301,10153,엠파크타워,28260,서구,64.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33370,0,562.913
202311,10325,침산네거리,27230,북구,5.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,73114,73114,153.908
202410,10077,평촌역,41173,안양시 동안구,6.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222676,368,626.761
202307,9727,수완동_2,29200,광산구,194.0,22.0,63.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,438506,317918,1987.317
202402,9212,송정역,11500,강서구,118.0,28.0,29.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,488988,224301,604.381
202210,9438,덕천역_2,26320,북구,196.0,46.0,92.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,277798,238761,1174.01
202311,9236,국회의사당역_2,11560,영등포구,49.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3381577,644186,7401.803
202303,9735,대인시장,29110,동구,251.0,83.0,48.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,42.0,3.0,312637,274434,894.716
202207,9150,신촌역_2,11410,서대문구,574.0,221.0,202.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,36.0,2.0,2638294,2386260,7521.388
202303,9238,당산역_2,11560,영등포구,85.0,27.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,401461,246521,879.391
202404,9586,함양군청,48870,함양군,410.0,115.0,63.0,0.0,0.0,6.0,3.0,0.0,0.0,0.0,7.0,5.0,69572,69572,667.592
